policy,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,6.75168176352675,0.7541109567475427,0.8314999999999999,0.09580959999999998,11.9762,117.42599999999997,1.0,1.0,0.177200016563884,0.6737667867505192,0.5604384250097841
Always-Local,5.829245736901827,0.7819387008973278,0.8881666666666668,0.11988639999999998,14.985800000000003,142.04999999999998,1.0,1.0,0.1167376218288331,0.6737667867505192,0.5981437365651051
Always-Edge,5.829245736901827,0.7819387008973278,0.8881666666666668,0.11988639999999998,14.985800000000003,122.2641828571429,1.0,1.0,0.11859804167003674,0.6737667867505192,0.5981437365651051
Heuristic-Rule,5.98724297421759,0.77841005122881,0.8781666666666667,0.0957474016,11.968425200000002,100.11359128190477,1.0,1.0,0.20831064220195303,0.6737667867505192,0.5913830654739746
PIR-Contextual-Bandit (LinUCB),6.700508872995892,0.7580773549261837,0.8401666666666667,0.08960380480000002,11.2004756,103.41772712761909,1.0,1.0,0.20680632193979331,0.6737667867505192,0.5653427898549332
