policy,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,1.114110136331892,0.02900489726663837,0.08320847408578717,0.0,0.0,0.0,0.0,0.0,0.054414732035421215,0.002655275836903374,0.054414732035421264
Always-Local,0.5805570382557765,0.01765545604639719,0.04616753201365521,1.9265458014990032e-17,2.465978625918724e-15,0.0,0.0,0.0,0.031079221246237798,0.002655275836903374,0.031079221246237798
Always-Edge,0.5805570382557765,0.01765545604639719,0.04616753201365521,1.9265458014990032e-17,2.465978625918724e-15,0.0,0.0,0.0,0.031079221246237798,0.002655275836903374,0.031079221246237798
Heuristic-Rule,0.5699721634774285,0.018127497643857432,0.04746196456148975,0.005487469989394905,0.6859337486743639,6.645028010488128,0.0,0.0,0.05392786961685261,0.002655275836903374,0.03216140231682825
PIR-Contextual-Bandit (LinUCB),1.6167265771723955,0.0365040652324862,0.09294757914711693,0.0037515651518702413,0.4689456439837822,9.154092100849864,0.0,0.0,0.0649355086671007,0.002655275836903374,0.061050144116441774
