policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Always-Edge,overall,1200,6.258884054559839,0.7799443052925988,0.865,0.11988639999999996,14.985800000000003,122.26418285714288,1.0,1.0,0.10495155139374203,0.675967440514356,0.5844972462888104
Always-Local,overall,1200,6.258884054559839,0.7799443052925988,0.865,0.11988639999999996,14.985800000000003,142.04999999999998,1.0,1.0,0.10309113155253838,0.675967440514356,0.5844972462888104
Fixed-Rate,overall,1200,7.1414682250498425,0.7568602764032523,0.8058333333333333,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.16147608532908705,0.675967440514356,0.5447144937749873
Heuristic-Rule,overall,1200,6.411155183433201,0.77291655936894,0.8533333333333334,0.096953248,12.119156000000002,101.3729380857143,1.0,1.0,0.18922207484869752,0.675967440514356,0.5771699786561283
PIR-Contextual-Bandit (LinUCB),overall,1200,7.05249142080841,0.759614192773525,0.8125,0.088997872,11.124734000000002,106.41180337142859,1.0,1.0,0.19220606301886517,0.675967440514356,0.5482828303441089
