policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,both_clean,200,5.025142411272594,0.8275862068965517,0.765,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.18994580496694874,0.7387007641510156,0.5731842134128489
Fixed-Rate,both_degraded,200,14.560530219740965,0.8091603053435115,0.825,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.06194731568882436,0.5476421200378679,0.44518572413472457
Fixed-Rate,ecg_degraded,200,7.16089187886776,0.6407766990291263,0.85,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.15544336777054552,0.6387498074001483,0.5386817762164458
Fixed-Rate,ecg_missing,200,3.6748997163878845,0.8596491228070176,0.81,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.22433682532486543,0.7493386537419329,0.6075752337707656
Fixed-Rate,ppg_degraded,200,8.819578329518677,0.5309734513274337,0.755,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.10690984482335397,0.6498372528462749,0.4901482532692542
Fixed-Rate,ppg_missing,200,3.607766794511168,0.873015873015873,0.83,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.23027335339998425,0.7315360449088968,0.6135117618458845
Always-Local,both_clean,200,4.017929030763863,0.8493150684931506,0.825,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.13575428300039813,0.7387007641510156,0.6171603977366702
Always-Local,both_degraded,200,14.4306242191805,0.8120300751879699,0.875,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,-0.005836144998205138,0.5476421200378679,0.4755699697380669
Always-Local,ecg_degraded,200,5.972607682631853,0.6601941747572816,0.91,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.09284949176387797,0.6387498074001483,0.57425560650015
Always-Local,ecg_missing,200,2.8842021594861116,0.8983050847457628,0.86,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.1668289105875254,0.7493386537419329,0.6482350253237974
Always-Local,ppg_degraded,200,7.330829856340683,0.5535714285714286,0.84,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.058044500253417154,0.6498372528462749,0.5394506149896892
Always-Local,ppg_missing,200,2.9171113789560277,0.90625,0.88,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.1709057487082168,0.7315360449088968,0.6523118634444888
Always-Edge,both_clean,200,4.017929030763863,0.8493150684931506,0.825,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.1376147028416018,0.7387007641510156,0.6171603977366702
Always-Edge,both_degraded,200,14.4306242191805,0.8120300751879699,0.875,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,-0.003975725157001492,0.5476421200378679,0.4755699697380669
Always-Edge,ecg_degraded,200,5.972607682631853,0.6601941747572816,0.91,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.09470991160508159,0.6387498074001483,0.57425560650015
Always-Edge,ecg_missing,200,2.8842021594861116,0.8983050847457628,0.86,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.16868933042872902,0.7493386537419329,0.6482350253237974
Always-Edge,ppg_degraded,200,7.330829856340683,0.5535714285714286,0.84,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.0599049200946208,0.6498372528462749,0.5394506149896892
Always-Edge,ppg_missing,200,2.9171113789560277,0.90625,0.88,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.17276616854942045,0.7315360449088968,0.6523118634444888
Heuristic-Rule,both_clean,200,4.098565362933318,0.8493150684931506,0.82,0.09851824,12.314780000000003,102.82235611428572,1.0,1.0,0.219333149953317,0.7387007641510156,0.613536375097349
Heuristic-Rule,both_degraded,200,14.552579532627105,0.8120300751879699,0.865,0.095448448,11.931056000000003,99.29360708571429,1.0,1.0,0.08927187094489844,0.5476421200378679,0.47117731629872867
Heuristic-Rule,ecg_degraded,200,6.3340532177835165,0.6601941747572816,0.89,0.096230944,12.028868000000003,100.19075491428572,1.0,1.0,0.17788208050441687,0.6387498074001483,0.5629175111974953
Heuristic-Rule,ecg_missing,200,3.031193741443242,0.8813559322033898,0.855,0.09815708799999999,12.269636000000002,102.94741251428573,1.0,1.0,0.2511530116961049,0.7493386537419329,0.6439302316575359
Heuristic-Rule,ppg_degraded,200,7.312579756229004,0.5636363636363636,0.835,0.097976512,12.247064000000002,102.8631502857143,1.0,1.0,0.14485664416071786,0.6498372528462749,0.5369487680863669
Heuristic-Rule,ppg_missing,200,3.1379594895830234,0.8709677419354839,0.855,0.095388256,11.923532,100.12034759999999,1.0,1.0,0.25283569183272997,0.7315360449088968,0.6345096695992937
PIR-Contextual-Bandit (LinUCB),both_clean,200,5.024589484395728,0.8275862068965517,0.775,0.08846617600000002,11.058272000000002,106.45854417142858,1.0,1.0,0.22707500396639943,0.7387007641510156,0.5809490179138403
PIR-Contextual-Bandit (LinUCB),both_degraded,200,14.772137124611385,0.803030303030303,0.84,0.08882732800000001,11.103416000000003,103.6731668,1.0,1.0,0.09612702788444295,0.5476421200378679,0.4514735574233751
