policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,steady_state_last50pct,600,6.1225097595822415,0.7988980716253443,0.8683333333333333,0.09580959999999998,11.976199999999999,117.42600000000002,1.0,1.0,0.20113220618021557,0.673294388269726,0.5843706146261158
Always-Local,steady_state_last50pct,600,5.7525268379225505,0.8097826086956522,0.9016666666666666,0.11988639999999996,14.9858,142.05,1.0,1.0,0.1276408059288839,0.673294388269726,0.6090469206651559
Always-Edge,steady_state_last50pct,600,5.7525268379225505,0.8097826086956522,0.9016666666666666,0.11988639999999996,14.9858,122.26418285714283,1.0,1.0,0.12950122577008755,0.673294388269726,0.6090469206651559
Heuristic-Rule,steady_state_last50pct,600,5.830864911806504,0.8044077134986226,0.8916666666666667,0.09358249600000002,11.697812000000003,100.45147617142857,1.0,1.0,0.2274723709261636,0.673294388269726,0.6020721388431959
PIR-Contextual-Bandit (LinUCB),steady_state_last50pct,600,6.073544718203839,0.8010899182561307,0.8833333333333333,0.08878720000000002,11.098400000000002,108.30064676190479,1.0,1.0,0.23838009499938143,0.673294388269726,0.5936126245879514
