policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,steady_state_last50pct,600,6.957142613770303,0.7642276422764228,0.7933333333333333,0.09580959999999998,11.976199999999999,117.42600000000002,1.0,1.0,0.15633657194572673,0.6757084082974846,0.539574980391627
Always-Local,steady_state_last50pct,600,5.581191921792345,0.7945205479452054,0.8733333333333333,0.11988639999999996,14.9858,142.05,1.0,1.0,0.1086625064951513,0.6757084082974846,0.5900686212314232
Always-Edge,steady_state_last50pct,600,5.581191921792345,0.7945205479452054,0.8733333333333333,0.11988639999999996,14.9858,122.26418285714283,1.0,1.0,0.11052292633635495,0.6757084082974846,0.5900686212314232
Heuristic-Rule,steady_state_last50pct,600,5.795738812434148,0.7922437673130194,0.8583333333333333,0.09829753600000002,12.287192,105.49118887619048,1.0,1.0,0.1849756972947374,0.6757084082974846,0.5783519172224865
PIR-Contextual-Bandit (LinUCB),steady_state_last50pct,600,6.048082972936553,0.7823691460055097,0.855,0.09438505600000001,11.798132000000003,113.82958630476193,1.0,1.0,0.19471584758370297,0.6757084082974846,0.5726963975388882
