policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Always-Edge,overall,1200,5.728360277566291,0.7693683061087768,0.8858333333333334,0.11988639999999996,14.985800000000003,122.26418285714288,1.0,1.0,0.11857244774368214,0.6746540435829278,0.5981181426387505
Always-Local,overall,1200,5.728360277566291,0.7693683061087768,0.8858333333333334,0.11988639999999996,14.985800000000003,142.04999999999998,1.0,1.0,0.11671202790247849,0.6746540435829278,0.5981181426387505
Fixed-Rate,overall,1200,6.6569452984585995,0.7413973399696675,0.8241666666666667,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.17330269891357317,0.6746540435829278,0.5565411073594734
Heuristic-Rule,overall,1200,6.000135573642341,0.7655629639912481,0.8741666666666666,0.09653190400000002,12.066488000000003,101.0560611809524,1.0,1.0,0.20294168629084322,0.6746540435829278,0.5891623529074226
PIR-Contextual-Bandit (LinUCB),overall,1200,6.569422422817416,0.7523240289049739,0.8525,0.09217801600000002,11.522252000000002,109.4997232761905,1.0,1.0,0.20352120600012136,0.6746540435829278,0.5724751433080661
