policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,both_clean,200,4.034702759221076,0.8455284552845529,0.825,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.22821883234677035,0.7382130492198852,0.6114572407926705
Fixed-Rate,both_degraded,200,12.945333224464184,0.7851851851851852,0.81,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.06255589906345356,0.5536519798857654,0.4457943075093538
Fixed-Rate,ecg_degraded,200,8.178140934460592,0.4318181818181818,0.83,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.1290539612550631,0.6277843710053415,0.5122923697009633
Fixed-Rate,ecg_missing,200,3.300159183103824,0.8837209302325582,0.845,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.2525738083019359,0.7492959571125978,0.6358122167478361
Fixed-Rate,ppg_degraded,200,8.042089176486163,0.6470588235294118,0.83,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.1580312409878092,0.6485686729793403,0.5412696494337094
Fixed-Rate,ppg_missing,200,3.44124651301576,0.855072463768116,0.805,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.20938245152640675,0.7304102312946376,0.592620859972307
Always-Local,both_clean,200,2.755228661301576,0.8976377952755905,0.875,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.17054082055240888,0.7382130492198852,0.6519469352886809
Always-Local,both_degraded,200,12.624033213313487,0.8321167883211679,0.88,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.0011091510564861197,0.5536519798857654,0.4825152657927581
Always-Local,ecg_degraded,200,7.292569000378961,0.4523809523809524,0.885,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.07062714137030757,0.6277843710053415,0.5520332561065796
Always-Local,ecg_missing,200,2.6911913324579486,0.8854961832061069,0.895,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.19464918919272317,0.7492959571125978,0.6760553039289952
Always-Local,ppg_degraded,200,6.588917837999867,0.6407766990291263,0.9,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.0979981917491487,0.6485686729793403,0.5794043064854207
Always-Local,ppg_missing,200,2.418221619945906,0.9078014184397163,0.88,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.1653476734937965,0.7304102312946376,0.6467537882300683
Always-Edge,both_clean,200,2.755228661301576,0.8976377952755905,0.875,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.17240124039361254,0.7382130492198852,0.6519469352886809
Always-Edge,both_degraded,200,12.624033213313487,0.8321167883211679,0.88,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.002969570897689766,0.5536519798857654,0.4825152657927581
Always-Edge,ecg_degraded,200,7.292569000378961,0.4523809523809524,0.885,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.07248756121151122,0.6277843710053415,0.5520332561065796
Always-Edge,ecg_missing,200,2.6911913324579486,0.8854961832061069,0.895,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.19650960903392686,0.7492959571125978,0.6760553039289952
Always-Edge,ppg_degraded,200,6.588917837999867,0.6407766990291263,0.9,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.09985861159035235,0.6485686729793403,0.5794043064854207
