policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,both_clean,200,2.3425971137416686,0.9022556390977443,0.895,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.2756554361311182,0.738699133634224,0.6588938445770184
Fixed-Rate,both_degraded,200,14.365367917203603,0.7482993197278912,0.91,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.10100581012328579,0.5345862510344556,0.484244218569186
Fixed-Rate,ecg_degraded,200,7.721862299702919,0.46808510638297873,0.87,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.16727711324340447,0.6304710012404116,0.5505155216893046
Fixed-Rate,ecg_missing,200,3.110652081944205,0.9197080291970803,0.865,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.2614960117943502,0.7492929381995677,0.6447344202402505
Fixed-Rate,ppg_degraded,200,6.078081134378831,0.6949152542372882,0.915,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.2121719501411922,0.6483997961518646,0.5954103585870923
Fixed-Rate,ppg_missing,200,2.9672586402167815,0.8617886178861789,0.875,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.2633732678253752,0.7307728834804181,0.6466116762712754
Always-Local,both_clean,200,1.7121203880084908,0.9302325581395349,0.945,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.21133605263773483,0.738699133634224,0.6927421673740067
Always-Local,both_degraded,200,13.592796758183573,0.7724137931034483,0.945,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.016651983118103023,0.5345862510344556,0.4980580978543751
Always-Local,ecg_degraded,200,6.9530152554979985,0.5,0.905,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.0920394686474054,0.6304710012404116,0.5734455833836775
Always-Local,ecg_missing,200,2.400936554566574,0.9185185185185185,0.895,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.19471824510087216,0.7492929381995677,0.6761243598371443
Always-Local,ppg_degraded,200,5.358285921593499,0.7017543859649122,0.945,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.1329614630559962,0.6483997961518646,0.6143675777922682
Always-Local,ppg_missing,200,1.7629810799170451,0.8888888888888888,0.93,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.1991025161133777,0.7307728834804181,0.6805086308496497
Always-Edge,both_clean,200,1.7121203880084908,0.9302325581395349,0.945,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.21319647247893847,0.738699133634224,0.6927421673740067
Always-Edge,both_degraded,200,13.592796758183573,0.7724137931034483,0.945,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.018512402959306663,0.5345862510344556,0.4980580978543751
Always-Edge,ecg_degraded,200,6.9530152554979985,0.5,0.905,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.09389988848860906,0.6304710012404116,0.5734455833836775
Always-Edge,ecg_missing,200,2.400936554566574,0.9185185185185185,0.895,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.19657866494207582,0.7492929381995677,0.6761243598371443
Always-Edge,ppg_degraded,200,5.358285921593499,0.7017543859649122,0.945,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.13482188289719985,0.6483997961518646,0.6143675777922682
Always-Edge,ppg_missing,200,1.7629810799170451,0.8888888888888888,0.93,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.20096293595458137,0.7307728834804181,0.6805086308496497
Heuristic-Rule,both_clean,200,1.6596755405270471,0.9375,0.94,0.09225827200000002,11.532284000000002,96.13191742857143,1.0,1.0,0.31994906599697726,0.738699133634224,0.6890007777349035
Heuristic-Rule,both_degraded,200,13.778528718725847,0.7832167832167832,0.93,0.092980576,11.622572000000002,96.67243571428571,1.0,1.0,0.11908260455945217,0.5345862510344556,0.4910328367686859
Heuristic-Rule,ecg_degraded,200,7.333257790794497,0.48936170212765956,0.88,0.09195731200000001,11.494664000000002,95.13436217142858,1.0,1.0,0.19172228199916064,0.6304710012404116,0.5595701522287675
Heuristic-Rule,ecg_missing,200,2.440616451604664,0.9253731343283582,0.895,0.09273980800000002,11.592476000000001,96.91992502857143,1.0,1.0,0.3047438841883095,0.7492929381995677,0.675740345548161
Heuristic-Rule,ppg_degraded,200,5.620385130833531,0.7079646017699115,0.94,0.09075347200000003,11.344184000000002,94.49673668571428,1.0,1.0,0.2484298627562017,0.6483997961518646,0.6114530690314487
Heuristic-Rule,ppg_missing,200,1.7057523118593707,0.8888888888888888,0.925,0.09249904000000003,11.562380000000003,96.47571234285715,1.0,1.0,0.30733382131540643,0.7307728834804181,0.6773393028700386
PIR-Contextual-Bandit (LinUCB),both_clean,200,1.7270988629025181,0.9375,0.93,0.08936905600000003,11.171132000000002,110.74015091428573,1.0,1.0,0.32140234500349957,0.738699133634224,0.679148344256382
PIR-Contextual-Bandit (LinUCB),both_degraded,200,13.97786785102875,0.7777777777777778,0.915,0.08936905600000003,11.171132000000002,107.58163457142858,1.0,1.0,0.1246474497756664,0.5345862510344556,0.4822632176449493
PIR-Contextual-Bandit (LinUCB),ecg_degraded,200,7.552825174958785,0.46808510638297873,0.88,0.08816521600000002,11.020652,108.91629251428573,1.0,1.0,0.203813375366516,0.6304710012404116,0.5566323849375587
PIR-Contextual-Bandit (LinUCB),ecg_missing,200,2.9048789041830982,0.9051094890510949,0.87,0.08786425600000002,10.983032000000003,107.91747760000003,1.0,1.0,0.3040977890703039,0.7492929381995677,0.655694353673043
PIR-Contextual-Bandit (LinUCB),ppg_degraded,200,5.949501481011953,0.6956521739130435,0.93,0.08750310400000001,10.937888000000003,108.53626331428572,1.0,1.0,0.2537823722225919,0.6483997961518646,0.6039622348597828
PIR-Contextual-Bandit (LinUCB),ppg_missing,200,2.1405893087934147,0.8666666666666667,0.915,0.08936905600000003,11.171132000000002,110.1480650857143,1.0,1.0,0.31371315609689066,0.7307728834804181,0.671431247797031
