policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Always-Edge,overall,1200,5.29668932629453,0.7853013574358838,0.9275,0.11988639999999996,14.985800000000003,122.26418285714288,1.0,1.0,0.14299537462011852,0.6720370006234903,0.6225410695151868
Always-Local,overall,1200,5.29668932629453,0.7853013574358838,0.9275,0.11988639999999996,14.985800000000003,142.04999999999998,1.0,1.0,0.14113495477891488,0.6720370006234903,0.6225410695151868
Fixed-Rate,overall,1200,6.097636531198002,0.765841994421527,0.8883333333333333,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.21349659820978767,0.6720370006234903,0.5967350066556879
Heuristic-Rule,overall,1200,5.423035990724159,0.7887175183886003,0.9183333333333333,0.09219808000000002,11.524760000000002,95.97184822857143,1.0,1.0,0.24854358680258462,0.6720370006234903,0.6173560806970009
PIR-Contextual-Bandit (LinUCB),overall,1200,5.708793597146419,0.7751318689652603,0.9066666666666666,0.08860662400000002,11.075828000000001,108.97331400000003,1.0,1.0,0.25357608125591136,0.6720370006234903,0.6081886305281244
