policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,steady_state_last50pct,600,6.300700160523165,0.786096256684492,0.9166666666666666,0.09580959999999998,11.976199999999999,117.42600000000002,1.0,1.0,0.2303722259933506,0.6697549433682305,0.6136106344392509
Always-Local,steady_state_last50pct,600,5.645121679802325,0.7912087912087912,0.9366666666666666,0.11988639999999996,14.9858,142.05,1.0,1.0,0.14450585396529347,0.6697549433682305,0.6259119687015655
Always-Edge,steady_state_last50pct,600,5.645121679802325,0.7912087912087912,0.9366666666666666,0.11988639999999996,14.9858,122.26418285714283,1.0,1.0,0.14636627380649714,0.6697549433682305,0.6259119687015655
Heuristic-Rule,steady_state_last50pct,600,5.789374917814403,0.8044692737430168,0.93,0.08914835200000004,11.143544000000002,94.83119908571427,1.0,1.0,0.26556716352011106,0.6697549433682305,0.6222008928964228
PIR-Contextual-Bandit (LinUCB),steady_state_last50pct,600,6.173249537423064,0.7901907356948229,0.92,0.08611868800000004,10.764836000000003,106.29753929523812,1.0,1.0,0.27016012718217086,0.6697549433682305,0.6146968977443138
