policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Always-Edge,overall,1200,6.499275350009986,0.757402958464113,0.8533333333333334,0.11988639999999996,14.985800000000003,122.26418285714288,1.0,1.0,0.09282716360186206,0.6718343453648717,0.5723728584969304
Always-Local,overall,1200,6.499275350009986,0.757402958464113,0.8533333333333334,0.11988639999999996,14.985800000000003,142.04999999999998,1.0,1.0,0.09096674376065841,0.6718343453648717,0.5723728584969304
Fixed-Rate,overall,1200,7.63777822725471,0.7251470675245377,0.7808333333333334,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.1402026688396763,0.6718343453648717,0.5234410772855764
Heuristic-Rule,overall,1200,6.677326681838255,0.750841732172976,0.845,0.09917031999999999,12.396290000000002,104.39013223809525,1.0,1.0,0.16910644359748597,0.6718343453648717,0.5658776811135601
PIR-Contextual-Bandit (LinUCB),overall,1200,8.16360460588242,0.7138928647404436,0.765,0.08926873600000002,11.158592000000002,97.27544997142857,1.0,1.0,0.15541163276190012,0.6718343453648717,0.5125284444680115
