policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,both_clean,200,4.324555266288863,0.8130081300813008,0.8,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.2011608760460238,0.739093534158238,0.5843992844919239
Fixed-Rate,both_degraded,200,14.482389795567029,0.6666666666666666,0.76,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.03657197743640199,0.5405213433639231,0.4198103858823022
Fixed-Rate,ecg_degraded,200,8.748152501434028,0.5945945945945946,0.795,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.11742973736326888,0.6280850585647103,0.5006681458091691
Fixed-Rate,ecg_missing,200,4.719875164163506,0.8548387096774194,0.75,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.16870535832078237,0.7493127635421402,0.5519437667666826
Fixed-Rate,ppg_degraded,200,8.5673818778387,0.5686274509803921,0.805,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.13035023229458514,0.6433225829381096,0.5135886407404854
Fixed-Rate,ppg_missing,200,4.984314758236135,0.8531468531468531,0.775,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.18699783157699565,0.7306707896221085,0.5702362400228957
Always-Local,both_clean,200,2.898677906817249,0.8455284552845529,0.865,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.1516069972296705,0.739093534158238,0.6330131119659425
Always-Local,both_degraded,200,13.797285219975297,0.7272727272727273,0.85,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,-0.0226505912566419,0.5405213433639231,0.4587555234796301
Always-Local,ecg_degraded,200,8.110919992463117,0.5925925925925926,0.855,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.054902439783303246,0.6280850585647103,0.5363085545195753
Always-Local,ecg_missing,200,3.8091289751032082,0.8636363636363636,0.815,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.13328434947177453,0.7493127635421402,0.6146904642080464
Always-Local,ppg_degraded,200,7.296070063354966,0.5882352941176471,0.86,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.077934240408328,0.6433225829381096,0.5593403551446001
Always-Local,ppg_missing,200,3.083569942346079,0.9271523178807947,0.875,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.15072302692751616,0.7306707896221085,0.6321291416637881
