regime,hr_true,hr_delivered,decode_success,energy_j,power_mw,latency_ms,reward,piv,u_pir,snr_db,arm
ecg_degraded,65.69672805495898,75.96586640396264,True,0.1198864,14.985800000000001,142.05,0.13428472434378771,0.6156908390800597,0.6156908390800597,17.07533868319168,K32_R20_local
ecg_missing,67.9094686048474,108.93854748603351,False,0.1198864,14.985800000000001,142.05,-0.4814061147360151,0.7494348048281474,2.568810791450696e-13,5.6021985777697525,K32_R20_local
ecg_degraded,98.85354443565683,99.26020820468534,True,0.1198864,14.985800000000001,142.05,0.18472040286530125,0.6661265176015733,0.6661265176015733,19.28942004475762,K32_R20_local
ppg_degraded,55.51495652810581,72.29512162697763,True,0.1198864,14.985800000000001,142.05,0.09996902818674372,0.5813751429230157,0.5813751429230157,17.722237491163057,K32_R20_local
ppg_degraded,86.00603155793924,87.02663312224348,True,0.1198864,14.985800000000001,142.05,0.24289684452573726,0.7243029592620093,0.7243029592620093,16.783502868992855,K32_R20_local
ppg_degraded,93.71363160870769,95.79286210163977,True,0.1198864,14.985800000000001,142.05,0.22757710487548147,0.7089832196117535,0.7089832196117535,16.188225263523126,K32_R20_local
ecg_degraded,61.274064401996206,83.62821765540858,True,0.1198864,14.985800000000001,142.05,0.042487215857219186,0.5238933305934912,0.5238933305934912,17.459344591951496,K32_R20_local
ppg_degraded,53.30879763998409,69.6707118501319,True,0.1198864,14.985800000000001,142.05,0.04554453637163828,0.5269506511079103,0.5269506511079103,20.437736925655972,K32_R20_local
ppg_missing,66.49816207436228,66.44518272425249,True,0.1198864,14.985800000000001,142.05,0.2574568873829886,0.7388630021192606,0.7388630021192606,17.11891710457042,K32_R20_local
ppg_degraded,89.44598089253554,89.18543103097743,True,0.1198864,14.985800000000001,142.05,0.16593893850906374,0.6473450532453358,0.6473450532453358,17.821677327275232,K32_R20_local
both_clean,83.73593976682568,83.75275312646099,True,0.1198864,14.985800000000001,142.05,0.2578347819531244,0.7392408966893964,0.7392408966893964,16.02793892694668,K32_R20_local
ecg_degraded,59.003735798320164,100.07640209240571,False,0.1198864,14.985800000000001,142.05,-0.4697693503074006,0.5204280923459651,0.011636764428871385,6.446416355986037,K32_R20_local
both_degraded,75.95784744828723,76.56002002282472,True,0.1198864,14.985800000000001,142.05,0.2304506823373285,0.7118568232322957,0.7118567970736005,7.894798547599032,K32_R20_local
ppg_missing,90.15783791447122,91.18541033434651,True,0.1198864,14.985800000000001,142.05,0.24099849100686246,0.7224046057431345,0.7224046057431345,19.538785847853283,K32_R20_local
both_clean,75.36708039620767,75.41899441340783,True,0.1198864,14.985800000000001,142.05,-0.46584980652091135,0.7426814791017065,0.015556308215360623,6.4416711464312915,K32_R20_local
ecg_missing,87.991063956447,88.04695837780152,True,0.1198864,14.985800000000001,142.05,0.2676619463864995,0.7490680611227715,0.7490680611227715,19.47194596158631,K32_R20_local
both_degraded,108.0461571496206,108.82015997867745,True,0.1198864,14.985800000000001,142.05,0.17139784959317608,0.6528039643294481,0.6528039643294481,17.70537743565061,K32_R20_local
ecg_missing,90.98388933857751,93.45794392523364,True,0.1198864,14.985800000000001,142.05,0.0377283378311725,0.7490184891312367,0.5191344525674445,6.8995940756273715,K32_R20_local
both_degraded,73.49748998480158,98.19828536086209,False,0.1198864,14.985800000000001,142.05,-0.48140611473615386,0.5678404472734275,1.181361967168614e-13,5.591732593746697,K32_R20_local
ppg_degraded,61.235154183205886,80.4470739851424,True,0.1198864,14.985800000000001,142.05,0.023292589391979677,0.5046987041282517,0.5046987041282517,18.413976053995757,K32_R20_local
both_degraded,70.757639934304,72.12895277902977,False,0.1198864,14.985800000000001,142.05,-0.3901197619752936,0.6604920815560704,0.0912863527609784,6.608247760361021,K32_R20_local
ecg_degraded,80.66395841417463,81.15633908917106,True,0.1198864,14.985800000000001,142.05,0.2453606468924118,0.7267667616286838,0.7267667616286838,18.65966966263892,K32_R20_local
ppg_missing,103.47256457003475,103.50318471337583,True,0.1198864,14.985800000000001,142.05,0.2292973116223214,0.7107034263585934,0.7107034263585934,17.64118572364398,K32_R20_local
ecg_missing,96.53383654836136,96.4630225080386,True,0.1198864,14.985800000000001,142.05,0.26767132080131534,0.7490774355375873,0.7490774355375873,19.005736772555384,K32_R20_local
ppg_degraded,69.08879603692246,69.74317101517536,True,0.1198864,14.985800000000001,142.05,0.16730300608881513,0.6487091208250871,0.6487091208250871,16.468892207333802,K32_R20_local
ecg_degraded,105.45301379040944,106.01427457729773,True,0.1198864,14.985800000000001,142.05,0.14334065331556425,0.6247467680518363,0.6247467680518363,19.912048466048553,K32_R20_local
ppg_missing,78.25459312494544,78.28810020876826,True,0.1198864,14.985800000000001,142.05,0.24286662214083812,0.7242727368771101,0.7242727368771101,18.484060186091284,K32_R20_local
ppg_missing,91.62553053213381,91.5564598168871,True,0.1198864,14.985800000000001,142.05,0.09889719930542265,0.729375195603198,0.5803033140416947,6.960181437230737,K32_R20_local
ecg_degraded,56.43243850721528,75.54406678906979,True,0.1198864,14.985800000000001,142.05,0.05563045491669431,0.5370365696529663,0.5370365696529663,19.868214649919224,K32_R20_local
ppg_degraded,56.27261350597649,73.90006930935856,True,0.1198864,14.985800000000001,142.05,0.03528045450232201,0.516686569238594,0.516686569238594,17.515237154424153,K32_R20_local
both_clean,62.11444685176702,97.98495906154098,False,0.1198864,14.985800000000001,142.05,-0.48052417749633775,0.7434152116366506,0.0008819372399342118,6.269563630310189,K32_R20_local
ppg_missing,103.06698042129761,103.09278350515467,True,0.1198864,14.985800000000001,142.05,0.03622038871538905,0.7168547743003848,0.5176265034516611,6.915443459054382,K32_R20_local
both_clean,90.78868768907502,91.70610708559737,True,0.1198864,14.985800000000001,142.05,0.25106328894840774,0.7324694036846797,0.7324694036846797,17.839001458280663,K32_R20_local
ppg_degraded,100.95417941686608,100.98541280461485,True,0.1198864,14.985800000000001,142.05,0.22008821670035375,0.7014943314374217,0.7014943314366258,8.268384069643261,K32_R20_local
both_clean,88.66617615233105,102.95670538542768,False,0.1198864,14.985800000000001,142.05,-0.3746343229855744,0.7377920809805086,0.10677179175069755,6.613432834031148,K32_R20_local
both_degraded,74.39254386053219,58.49561746309712,False,0.1198864,14.985800000000001,142.05,-0.4814060453583584,0.6855941547627461,6.937791360145985e-08,5.914312634594463,K32_R20_local
ppg_degraded,80.9946916474998,85.67910217539544,True,0.1198864,14.985800000000001,142.05,0.11065711170732542,0.5920632264435974,0.5920632264435974,16.453118025196456,K32_R20_local
ecg_missing,85.60661106535437,85.51881413911062,True,0.1198864,14.985800000000001,142.05,0.2676635511812561,0.7490696659175281,0.7490696659175281,17.79226072323696,K32_R20_local
