regime,hr_true,hr_delivered,decode_success,energy_j,power_mw,latency_ms,reward,piv,u_pir,snr_db,arm
ecg_degraded,65.69672805495898,75.96586640396264,True,0.1198864,14.985800000000001,122.26418285714286,0.13614514418499135,0.6156908390800597,0.6156908390800597,17.07533868319168,K32_R20_edge
ecg_missing,67.9094686048474,108.93854748603351,False,0.1198864,14.985800000000001,122.26418285714286,-0.4795456948948114,0.7494348048281474,2.568810791450696e-13,5.6021985777697525,K32_R20_edge
ecg_degraded,98.85354443565683,99.26020820468534,True,0.1198864,14.985800000000001,122.26418285714286,0.1865808227065049,0.6661265176015733,0.6661265176015733,19.28942004475762,K32_R20_edge
ppg_degraded,55.51495652810581,72.29512162697763,True,0.1198864,14.985800000000001,122.26418285714286,0.10182944802794736,0.5813751429230157,0.5813751429230157,17.722237491163057,K32_R20_edge
ppg_degraded,86.00603155793924,87.02663312224348,True,0.1198864,14.985800000000001,122.26418285714286,0.2447572643669409,0.7243029592620093,0.7243029592620093,16.783502868992855,K32_R20_edge
ppg_degraded,93.71363160870769,95.79286210163977,True,0.1198864,14.985800000000001,122.26418285714286,0.2294375247166851,0.7089832196117535,0.7089832196117535,16.188225263523126,K32_R20_edge
ecg_degraded,61.274064401996206,83.62821765540858,True,0.1198864,14.985800000000001,122.26418285714286,0.04434763569842282,0.5238933305934912,0.5238933305934912,17.459344591951496,K32_R20_edge
ppg_degraded,53.30879763998409,69.6707118501319,True,0.1198864,14.985800000000001,122.26418285714286,0.047404956212841916,0.5269506511079103,0.5269506511079103,20.437736925655972,K32_R20_edge
ppg_missing,66.49816207436228,66.44518272425249,True,0.1198864,14.985800000000001,122.26418285714286,0.2593173072241923,0.7388630021192606,0.7388630021192606,17.11891710457042,K32_R20_edge
ppg_degraded,89.44598089253554,89.18543103097743,True,0.1198864,14.985800000000001,122.26418285714286,0.16779935835026738,0.6473450532453358,0.6473450532453358,17.821677327275232,K32_R20_edge
