policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,steady_state_last50pct,600,8.402420390029416,0.7480519480519481,0.7483333333333333,0.09580959999999998,11.976199999999999,117.42600000000002,1.0,1.0,0.1178423156153264,0.6733538729087188,0.5010807240612266
Always-Local,steady_state_last50pct,600,6.725119275356436,0.7704485488126649,0.8383333333333334,0.11988639999999996,14.9858,142.05,1.0,1.0,0.07821953114041018,0.6733538729087188,0.5596256458766822
Always-Edge,steady_state_last50pct,600,6.725119275356436,0.7704485488126649,0.8383333333333334,0.11988639999999996,14.9858,122.26418285714283,1.0,1.0,0.08007995098161383,0.6733538729087188,0.5596256458766822
Heuristic-Rule,steady_state_last50pct,600,6.862861369943917,0.7692307692307693,0.8316666666666667,0.10050457600000001,12.563072000000002,109.02561121904762,1.0,1.0,0.15237433872972198,0.6733538729087188,0.5545725248648498
PIR-Contextual-Bandit (LinUCB),steady_state_last50pct,600,9.100378719477021,0.7263681592039801,0.7283333333333334,0.08876713600000002,11.095892000000001,98.78603017142858,1.0,1.0,0.1332283237589394,0.6733538729087188,0.4883185773612538
