policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,steady_state_last50pct,600,7.021148544871083,0.7458563535911602,0.7966666666666666,0.09580959999999998,11.976199999999999,117.42600000000002,1.0,1.0,0.15623541682639255,0.6725061596074985,0.5394738252722927
Always-Local,steady_state_last50pct,600,6.02594951108162,0.7967479674796748,0.8683333333333333,0.11988639999999996,14.9858,142.05,1.0,1.0,0.10457463777792027,0.6725061596074985,0.5859807525141923
Always-Edge,steady_state_last50pct,600,6.02594951108162,0.7967479674796748,0.8683333333333333,0.11988639999999996,14.9858,122.26418285714283,1.0,1.0,0.10643505761912392,0.6725061596074985,0.5859807525141923
Heuristic-Rule,steady_state_last50pct,600,6.131789227948275,0.7868852459016393,0.855,0.09665228800000002,12.081536000000002,102.66071266666665,1.0,1.0,0.19069710025259512,0.6725061596074985,0.5774582173297501
PIR-Contextual-Bandit (LinUCB),steady_state_last50pct,600,6.719663483338228,0.7624309392265194,0.8016666666666666,0.08904803200000003,11.131004,95.55243556190476,1.0,1.0,0.1870162905545276,0.6725061596074985,0.5432487356431065
