policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Always-Edge,overall,1200,5.36301967607849,0.8176765771852671,0.9091666666666667,0.11988639999999996,14.985800000000003,122.26418285714288,1.0,1.0,0.13364367099077898,0.67434110366695,0.6131893658858474
Always-Local,overall,1200,5.36301967607849,0.8176765771852671,0.9091666666666667,0.11988639999999996,14.985800000000003,142.04999999999998,1.0,1.0,0.13178325114957534,0.67434110366695,0.6131893658858474
Fixed-Rate,overall,1200,6.2245805356726,0.7813081054187291,0.8583333333333333,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.19752203152729597,0.67434110366695,0.5807604399731962
Heuristic-Rule,overall,1200,5.424561441449993,0.8140114822222858,0.9,0.093883456,11.735432000000003,97.77697667619046,1.0,1.0,0.23173941947015375,0.67434110366695,0.6073492339957608
PIR-Contextual-Bandit (LinUCB),overall,1200,6.008232318324796,0.7894238192467155,0.8641666666666666,0.08896777600000003,11.120972000000002,94.92834501904763,1.0,1.0,0.22931662666216862,0.67434110366695,0.5852389006263553
