sweep,value,mean_diff,ci_low,ci_high,p
hint_noise,0.0,0.0011351911871175253,0.0009472553281685878,0.0013204363624039377,4.999750012499375e-05
hint_noise,0.125,0.0009594977638924151,0.0007718885721871696,0.0011575056170144663,4.999750012499375e-05
hint_noise,0.25,0.0008010663604032624,0.0006176675695326744,0.0009911382963730714,4.999750012499375e-05
hint_noise,0.375,0.0006689062589853636,0.0004807775293370131,0.0008718433110820445,4.999750012499375e-05
hint_noise,0.5,0.0005900550368507198,0.0003682196623758798,0.0008215280206703218,0.00014999250037498125
hint_noise,0.625,0.0005406614636438515,0.0003312083625801078,0.0007662619710971519,9.99950002499875e-05
hint_noise,0.75,0.0004814295297505255,0.00026307597756565975,0.0007024039391173224,0.00039998000099995
hint_noise,0.875,0.0004166174889247802,0.00020651023794092301,0.0006381518529800588,0.0008499575021248938
hint_noise,1.0,0.00042889226422380635,0.0002124259099371655,0.0006536338442177282,0.0008999550022498875
hint_noise,1.125,0.00040439941299249865,0.00017782114649379004,0.0006387281190791625,0.002449877506124694
hint_noise,1.25,0.00032453377055608693,7.635458578713082e-05,0.0005797098450776971,0.022048897555122245
hint_noise,1.375,0.0003263027466034185,8.037493604952141e-05,0.0005790465196683064,0.020248987550622467
hint_noise,1.5,0.0003325258883948759,8.905074630967238e-05,0.0005865632049045842,0.016999150042497874
hint_noise,1.625,0.00034230470162862877,9.160914162859932e-05,0.0006023067998292133,0.01629918504074796
hint_noise,1.75,0.000337039312389101,8.425582560109998e-05,0.0005975938866886658,0.018549072546372683
hint_noise,1.875,0.0003521870441496946,9.945519059626777e-05,0.0006125212979868545,0.013799310034498274
hint_noise,2.0,0.0003433005576060802,9.800977284405435e-05,0.0005928011844657031,0.013799310034498274
hint_noise,2.125,0.00034852977293396855,0.00010348284064812449,0.0005965123927628944,0.01184940752962352
hint_noise,2.25,0.00036014629626533815,0.00012036173642527826,0.0006059250325987151,0.009149542522873857
hint_noise,2.375,0.000352389761909123,0.00010498781333925625,0.0006027091304533165,0.011699415029248537
hint_noise,2.5,0.00035312696689157765,0.00010573988262511313,0.0006038080915529225,0.011649417529123544
hint_noise,2.625,0.0003467269749341177,0.00010348762381702646,0.0005921929569213001,0.012149392530373481
hint_noise,2.75,0.0003169812834255149,7.019832363935e-05,0.0005632702119599265,0.022298885055747213
hint_noise,2.875,0.0003163558760485663,6.916651447604936e-05,0.0005630878804064324,0.022648867556622168
hint_noise,3.0,0.0003128726697615931,6.420575774626939e-05,0.0005616154617035242,0.02449877506124694
hint_rank_flip,0.0,0.0011351911871175253,0.000945562283455876,0.0013212650337517768,4.999750012499375e-05
hint_rank_flip,0.05,0.0010256606315731725,0.000811518999571397,0.0012370184625785424,4.999750012499375e-05
hint_rank_flip,0.1,0.001038209894333144,0.0008366566468332115,0.0012445455620003789,4.999750012499375e-05
hint_rank_flip,0.15000000000000002,0.0009720955910495363,0.0007852551526925301,0.001172527082114672,4.999750012499375e-05
hint_rank_flip,0.2,0.000945906373747506,0.0007416971686858652,0.0011483078881197753,4.999750012499375e-05
hint_rank_flip,0.25,0.0009386337963021844,0.0007483677700614659,0.0011261303357818374,4.999750012499375e-05
hint_rank_flip,0.30000000000000004,0.0009230871807217223,0.0007357804472601513,0.0010977714467908682,4.999750012499375e-05
hint_rank_flip,0.35000000000000003,0.0008103532901085979,0.0006116365442691655,0.0010137401843039104,4.999750012499375e-05
hint_rank_flip,0.4,0.0006684676699921134,0.00046738134384171216,0.0008765378486499148,4.999750012499375e-05
hint_rank_flip,0.45,0.0004982009293625954,0.00029243242866766026,0.0007071440134347661,0.00014999250037498125
hint_rank_flip,0.5,0.0003734259757696926,0.00016589240198706799,0.0005861584557296429,0.0022998850057497125
hint_rank_flip,0.55,0.00022241595688409874,1.3560889119781022e-05,0.00043625347014556413,0.06034698265086746
hint_rank_flip,0.6000000000000001,0.0001505537070210364,-7.217053036041288e-05,0.0003761530238875224,0.22283885805709713
hint_rank_flip,0.65,-6.9129253991840076e-06,-0.00020782522036171203,0.00020137416802648144,0.9506524673766311
hint_rank_flip,0.7000000000000001,-0.00010607287986124239,-0.0002847098418156482,7.817131495265087e-05,0.28038598070096493
hint_rank_flip,0.75,-0.0001200892958079,-0.00031218181510664085,7.978466774739295e-05,0.25733713314334283
hint_rank_flip,0.8,-0.00016871288356067353,-0.0003577880246268664,3.24509726142874e-05,0.11534423278836058
hint_rank_flip,0.8500000000000001,-0.00021494895934284831,-0.00041670128248367795,1.1946776147234317e-06,0.0663966801659917
hint_rank_flip,0.9,-0.00026162299650664086,-0.00045292778128468565,-6.425355597365612e-05,0.01974901254937253
hint_rank_flip,0.9500000000000001,-0.0003001538165998508,-0.0004944221258122392,-0.00010250468311512198,0.009299535023248838
hint_rank_flip,1.0,-0.00030810557355048334,-0.0005007468675965266,-0.00011675937563475178,0.006999650017499125
